id	created_at	screen_name	name	description	location	url	statuses_count	followers_count	friends_count	favourites_count	listed_count	time_zone	utc_offset	lang	protected	verified	default_profile	default_profile_image	downloaded_at
856395210	2012-10-01 15:49:18	sportdemonboy	shaun cassar	"im a boy just trying to make a living"		null	3	3	12	0	0	Abu Dhabi	14400	en	false	false	true	true	2012-10-26 23:24:00
254407347	2011-02-19 07:13:01	MMD333	Marcus R.	"The one and only MMD"	Providence, RI	null	1195	43	71	0	0	Central Time (US & Canada)	-21600	en	false	false	true	false	2013-01-30 13:26:00
246675526	2011-02-03 08:21:17	naoefron	N@	"18.♡ZAC EFRON♡✘〇 YOLO    ONE DIRECTION♡1D   NIALL follow me ! ☆★☆ 17/10/12   Channing.T/JB/Nicki/GCH/洋楽:洋画ONLY/  PARTY/FB,Insta"	JAPAN[●]	http://ameblo.jp/xoalicexozexoctxoggxo/	8130	1778	272	130	6	Tokyo	32400	ja	false	false	false	false	2012-11-07 13:51:00
57755131	2009-07-17 22:56:47	AnthologyFilm	AnthologyFilmArchive	"Anthology Film Archives is an international center for the exhibition, preservation, and study of independent and artist film and video."	East Village, New York, NY	http://www.anthologyfilmarchives.org	1556	6762	126	5	337	Eastern Time (US & Canada)	-18000	en	false	false	false	false	2012-10-20 06:00:00
422274048	2011-11-27 03:04:24	shitcocota	@shitcocota	""		null	54	251	1602	0	0	null	0	pt	false	false	false	false	2012-11-03 11:37:00
465592627	2012-01-16 15:39:17	montiniushastin	#swaggsome326	""	dudley	null	6	12	178	0	0	Atlantic Time (Canada)	-14400	en	false	false	false	false	2012-10-29 19:16:00
56402289	2009-07-13 17:34:24	AdderLadder	Lance Adder	"Web junkie"	Copenhagen, Denmark	null	21	566	747	0	0	Copenhagen	3600	en	false	false	false	false	2013-01-24 18:51:00
157476962	2010-06-20 01:24:42	IAN_WILKINS	Ian Wilkins	""	null	null	128	43	98	20	0	null	0	en	false	false	true	false	2013-01-27 09:52:00
152693602	2010-06-06 18:43:05	JenniferMcAuley	Jennifer McAuley 	""	Ireland	null	114	86	75	1	0	null	0	en	false	false	false	false	2012-11-16 22:55:00
746491621	2012-08-09 05:51:31	Stevie_thegreek	Stevie Air Force #84	"Don't let small minds convince you that your dreams are too big. #NDO #WTD.                                  #MENTION FOR FOLLOWBACK "	Montreal 	null	3410	229	157	0	0	null	0	en	false	false	true	false	2012-10-29 20:02:00
